ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
23521-1836-1.zip,202202041356,西加茂郡三好町大字三好字宮ノ越,11,,
23521-1836-1.zip,202202041356,西加茂郡三好町大字三好字八和田,85-6,,
23521-1836-2.zip,202202041356,西加茂郡三好町大字黒笹字小持松,1123,,
23521-1836-3.zip,202202041356,西加茂郡三好町大字三好字上,13-2,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,水-11,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-41,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-42,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-44,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-47,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-48,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-51,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-53,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-54,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,長狭物不明-56,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字川ノ下,水-100,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字上,水-5,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字上,長狭物不明-18,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字上,長狭物不明-8,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字上,長狭物不明-16,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字上,長狭物不明-12,,
23521-1836-4.zip,202202041356,西加茂郡三好町大字西一色字上,長狭物不明-10,,
23521-1836-5.zip,202202041356,西加茂郡三好町大字莇生字石田,109,,
23521-1836-5.zip,202202041356,西加茂郡三好町大字莇生字川原,水-1,,
23521-1836-5.zip,202202041356,西加茂郡三好町大字莇生字藤塚,地区外-6116734,,
23521-1836-5.zip,202202041356,西加茂郡三好町大字莇生字曽和,地区外-6116776,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,水-6,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,水-7,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,水-8,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,水-9,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,水-10,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-7,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-8,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-9,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-10,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-11,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-12,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-13,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-14,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-15,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-16,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-17,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-18,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-19,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-20,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-21,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-22,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-23,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-24,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-25,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-26,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-27,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-28,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-29,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-30,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-31,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-32,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-33,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-34,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-35,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-36,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-37,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-38,,
23521-1836-6.zip,202202041356,西加茂郡三好町大字黒笹字小持松,長狭物不明-39,,
